Document Title,Payer,Market Segment,Number of Approved CGMs,UUID_dupe,Cross-Payer Grouping A,Cross-Payer Grouping B,New Market Segment(s),Plan Tier Number
Arizona Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecvEhdfBTfvpN6I8-312694-AZArizona Individ,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
California Access Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecW6OGt16cx9nz7e-267551-CACalifornia Acce,"Large Group, 8-9 CGMs Covered","3-Tier Plan, Large Group",Large Group Plan,3-Tier Plan
California Access Large Group 3-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecMoXIwPwmiBNsUa-227753-CACalifornia Acce,"Large Group, 8-9 CGMs Covered","3-Tier Plan, Large Group",Large Group Plan,3-Tier Plan
California Access Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecMv3O9c0q911gKP-267552-CACalifornia Acce,"Large Group, 8-9 CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
California Access Large Group 4-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrec29Fi3ZLrvFx8Gu-227755-CACalifornia Acce,"Large Group, 8-9 CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
California Advantage Large Group 3-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrech72VW0dP8F2gfV-269770-CACalifornia Adva,"Large Group, 8-9 CGMs Covered","3-Tier Plan, Large Group",Large Group Plan,3-Tier Plan
California Advantage Large Group 3-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrec5RYmCxLrtTl1gV-173031-CACalifornia Adva,"Large Group, 8-9 CGMs Covered","3-Tier Plan, Large Group",Large Group Plan,3-Tier Plan
California Advantage Large Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecuEaOn75poIHbWa-269771-CACalifornia Adva,"Large Group, 8-9 CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
California Advantage Large Group 4-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecxS0QXaszZLmsJ5-173032-CACalifornia Adva,"Large Group, 8-9 CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
California Large Group 4-Tier Essential HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Large Group,Eight - Nine,CHIR_IDrecxpfyB748fnOumn-267553-CACalifornia Larg,"Large Group, 8-9 CGMs Covered","4-Tier Plan, Large Group",Large Group Plan,4-Tier Plan
California Small Group 4-Tier HMO and PPO Prescription Drug List (Health Plan),United Healthcare,Small Group,Eight - Nine,CHIR_IDrec2NEXwneyFj4Q5A-269769-CACalifornia Smal,"Small Group, 8-9 CGMs Covered","4-Tier Plan, Small Group",Small Group Plan,4-Tier Plan
California Small Group 4-Tier PPO Prescription Drug List (Health Plan),United Healthcare,Small Group,Eight - Nine,CHIR_IDrecJNdJKgv9IWYs3d-151908-CACalifornia Smal,"Small Group, 8-9 CGMs Covered","4-Tier Plan, Small Group",Small Group Plan,4-Tier Plan
Connecticut Access 3 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecMcxYMYHBOrJ0Yk-229148-CTConnecticut Acc,"Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Connecticut Advantage 3 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecHUCFpBnc0Xgkpp-229145-CTConnecticut Adv,"Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Connecticut Advantage 4 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecqEdGQEycz1eb0o-229147-CTConnecticut Adv,"Small & Large Group, 6-7 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Connecticut Traditional 3 Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Six - Seven,CHIR_IDrecOlLecBBg1zJ4YG-229146-CTConnecticut Tra,"Small & Large Group, 6-7 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Core Plus Preventive Drug List (Health Plan),United Healthcare,Unclear,Just One,CHIR_IDrecrXDC46nQMGOeCw-289031-AKCore Plus Preve,"Unclear, 1 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Essential 4-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecTs7lLweXRy6EOs-153163-AKEssential 4-Tie,"Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Expanded Preventive Drug List (Health Plan),United Healthcare,"Individual,Small Group,Large Group",Just One,CHIR_IDrecrt1rXL8Jx0ZMsr-289032-AKExpanded Preven,"Individual and Family Plan, Large & Small Group, 1 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large & Small Group","Individual and Family Plan, Large Group Plan, Small Group Plan",Non-Tiered Plan
Federal Guided Preventive Drug List (Health Plan),United Healthcare,"Individual,Small Group,Large Group",Just One,CHIR_IDrec5woywck7ekxIed-289033-AKFederal Guided ,"Individual and Family Plan, Large & Small Group, 1 CGMs Covered","Non-Tiered Plan, Individual and Family Plan, Large & Small Group","Individual and Family Plan, Large Group Plan, Small Group Plan",Non-Tiered Plan
Florida Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDreccyWNrBQqCms0Pz-312697-FLFlorida Individ,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Georgia Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecSsWcZAatidaW6j-312699-GAGeorgia Individ,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Illinois Essential Plus Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrecxzDS6SDZacuwiK-312704-ILIllinois Essent,"Unclear, 4-5 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Illinois Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecSlGmPC2N8QVJOG-312703-ILIllinois Indivi,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Indiana Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrec9NQl5xGDHs0pSY-359377-INIndiana Prescri,"Unclear, 4-5 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Individual and Family Plans Diabetic Supply List (Health Plan),United Healthcare,Individual and Family Plans,Six - Seven,CHIR_IDrecucZNkBkZCgYUFJ-359363-ALIndividual and ,"Individual and Family Plan, 6-7 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Iowa Prescription Drug List (Health Plan),United Healthcare,Unclear,Four - Five,CHIR_IDrecg6ToI2JzxCj7LP-359381-IAIowa Prescripti,"Unclear, 4-5 CGMs Covered","Non-Tiered Plan, Unclear",Unclear,Non-Tiered Plan
Kansas Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecH05mjmI3hLaYLs-312706-KSKansas Individu,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Louisiana Advantage 3-Tier Prescription Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecgukDkKdbyVLLB7-229134-LALouisiana Advan,"Small & Large Group, 8-9 CGMs Covered","3-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",3-Tier Plan
Louisiana Essential 4-Tier Drug List (Health Plan),United Healthcare,"Small Group,Large Group",Eight - Nine,CHIR_IDrecykgzra7JE2sL7o-267554-LALouisiana Essen,"Small & Large Group, 8-9 CGMs Covered","4-Tier Plan, Small & Large Group","Large Group Plan, Small Group Plan",4-Tier Plan
Louisiana Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrec8XSHiCRQthI5a8-312709-LALouisiana Indiv,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Maryland Individual and Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecio5DHHGeq7gKbv-312711-MDMaryland Indivi,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Michigan Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrecNd9sXw85fybCRL-312713-MIMichigan Indivi,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
Mississippi Individual & Family Plans Prescription Drug List (Health Plan),United Healthcare,Individual,Four - Five,CHIR_IDrechPabcCneSitZdv-312715-MSMississippi Ind,"Individual and Family Plan, 4-5 CGMs Covered","Non-Tiered Plan, Individual and Family Plan",Individual and Family Plan,Non-Tiered Plan
