Line of Business,New Market Segment(s),Payer,Payer (Detailed),States,Covered Lives
Commercial,Large Group,United Healthcare,United Healthcare,AZ,"739,422"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,AZ,"968,839"
Commercial,Small Group,United Healthcare,United Healthcare,AZ,"317,036"
Commercial,Large Group,United Healthcare,United Healthcare,CA,"563,845"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,CA,"628,980"
Commercial,Small Group,United Healthcare,United Healthcare,CA,"153,858"
Commercial,Individual,United Healthcare,Rocky Mountain Health Plans,CO,"62,848"
Commercial,Individual,United Healthcare,United Healthcare,CO,"2,555"
Commercial,Large Group,United Healthcare,United Healthcare,CO,"25,563"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,CO,"541,236"
Commercial,Small Group,United Healthcare,United Healthcare,CO,"29,381"
Commercial,Large Group,United Healthcare,Oxford Health Plans,CT,"13,997"
Commercial,Large Group,United Healthcare,United Healthcare,CT,"183,192"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,CT,"272,524"
Commercial,Small Group,United Healthcare,Oxford Health Plans,CT,"11,378"
Commercial,Small Group,United Healthcare,United Healthcare,CT,"4,480"
Commercial,Individual,United Healthcare,United Healthcare,DC,219
Commercial,Large Group,United Healthcare,United Healthcare,DC,"2,829"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,DC,"698,225"
Commercial,Small Group,United Healthcare,United Healthcare,DC,460
Commercial,Large Group,United Healthcare,United Healthcare,DE,366
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,DE,"14,421"
Commercial,Individual,United Healthcare,United Healthcare,FL,"32,003"
Commercial,Large Group,United Healthcare,Neighborhood Health Partnership,FL,"51,544"
Commercial,Large Group,United Healthcare,United Healthcare,FL,"586,074"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,FL,"629,473"
Commercial,Small Group,United Healthcare,Neighborhood Health Partnership,FL,"101,901"
Commercial,Small Group,United Healthcare,United Healthcare,FL,"374,719"
Commercial,Large Group,United Healthcare,United Healthcare,GA,"50,049"
Commercial,Self Funded/Employer Sponsored,United Healthcare,United Healthcare,GA,"599,862"
Commercial,Small Group,United Healthcare,United Healthcare,GA,"28,015"
Commercial,Large Group,United Healthcare,United Healthcare,IA,"14,864"
Commercial,Small Group,United Healthcare,United Healthcare,IA,"5,726"
Commercial,Large Group,United Healthcare,United Healthcare,ID,"3,277"
